,Rank,State,Score,updated_on
1,(1),Alaska,96,3/4/21
2,(2),Florida,96,3/4/21
3,(3),North Dakota,96,3/4/21
4,(4),Alabama,93,3/4/21
5,(5),Arkansas,92,3/4/21
6,(6),South Dakota,92,3/4/21
7,(7),Missouri,90,3/4/21
8,(8),Iowa,89,3/4/21
9,(9),Nebraska,89,3/4/21
10,(10),Kansas,86,3/4/21
11,(11),Mississippi,86,3/4/21
12,(12),Utah,86,3/4/21
13,(13),Oklahoma,85,3/4/21
14,(14),South Carolina,83,3/4/21
15,(15),Georgia,82,3/4/21
16,(16),Montana,82,3/4/21
17,(17),Wyoming,82,3/4/21
18,(18),Indiana,79,3/4/21
19,(19),Arizona,77,3/4/21
20,(20),Idaho,76,3/4/21
21,(21),Ohio,72,3/4/21
22,(22),Tennessee,68,3/4/21
23,(23),Maine,65,3/4/21
24,(24),New Hampshire,65,3/4/21
25,(25),Wisconsin,64,3/4/21
1,(26),North Carolina,62,3/4/21
2,(27),Texas,62,3/4/21
3,(28),West Virginia,62,3/4/21
4,(29),Kentucky,60,3/4/21
5,(30),Massachusetts,60,3/4/21
6,(31),Maryland,59,3/4/21
7,(32),Nevada,59,3/4/21
8,(33),Virginia,59,3/4/21
9,(34),Pennsylvania,58,3/4/21
10,(35),New Jersey,57,3/4/21
11,(36),Rhode Island,54,3/4/21
12,(37),Louisiana,52,3/4/21
13,(38),Delaware,51,3/4/21
14,(39),Connecticut,49,3/4/21
15,(40),Minnesota,49,3/4/21
16,(41),New York,49,3/4/21
17,(42),Michigan,43,3/4/21
18,(43),Oregon,41,3/4/21
19,(44),Colorado,39,3/4/21
20,(45),Hawaii,39,3/4/21
21,(46),Illinois,39,3/4/21
22,(47),Vermont,39,3/4/21
23,(48),Washington,37,3/4/21
24,(49),New Mexico,33,3/4/21
25,(50),California,30,3/4/21
